startTime,settlementPeriod,fuelType,generation
2026-05-14T04:00:00Z,11,INTNSL,700
2026-05-14T04:00:00Z,11,INTVKL,-148
2026-05-14T04:00:00Z,11,NPSHYD,179
2026-05-14T04:00:00Z,11,NUCLEAR,3403
2026-05-14T04:00:00Z,11,OCGT,1
2026-05-14T04:00:00Z,11,OIL,0
2026-05-14T04:00:00Z,11,OTHER,286
2026-05-14T04:00:00Z,11,PS,-566
2026-05-14T04:00:00Z,11,WIND,8079
2026-05-14T04:30:00Z,12,BIOMASS,2495
2026-05-14T04:30:00Z,12,CCGT,3758
2026-05-14T04:30:00Z,12,COAL,0
2026-05-14T04:30:00Z,12,INTELEC,996
2026-05-14T04:30:00Z,12,INTEW,0
2026-05-14T04:30:00Z,12,INTFR,1508
2026-05-14T04:30:00Z,12,INTGRNL,-158
2026-05-14T04:30:00Z,12,INTIFA2,992
2026-05-14T04:30:00Z,12,INTIRL,46
2026-05-14T04:30:00Z,12,INTNED,0
2026-05-14T04:30:00Z,12,INTNEM,456
2026-05-14T04:30:00Z,12,INTNSL,760
2026-05-14T04:30:00Z,12,INTVKL,-46
2026-05-14T04:30:00Z,12,NPSHYD,192
2026-05-14T04:30:00Z,12,NUCLEAR,3402
2026-05-14T04:30:00Z,12,OCGT,1
2026-05-14T04:30:00Z,12,OIL,0
2026-05-14T04:30:00Z,12,OTHER,717
2026-05-14T04:30:00Z,12,PS,-318
2026-05-14T04:30:00Z,12,WIND,7580
2026-05-14T05:00:00Z,13,BIOMASS,2494
2026-05-14T05:00:00Z,13,CCGT,3844
2026-05-14T05:00:00Z,13,COAL,0
2026-05-14T05:00:00Z,13,INTELEC,996
2026-05-14T05:00:00Z,13,INTEW,0
2026-05-14T05:00:00Z,13,INTFR,1508
2026-05-14T05:00:00Z,13,INTGRNL,-48
2026-05-14T05:00:00Z,13,INTIFA2,992
2026-05-14T05:00:00Z,13,INTIRL,-22
2026-05-14T05:00:00Z,13,INTNED,0
2026-05-14T05:00:00Z,13,INTNEM,984
2026-05-14T05:00:00Z,13,INTNSL,1134
2026-05-14T05:00:00Z,13,INTVKL,1254
2026-05-14T05:00:00Z,13,NPSHYD,193
2026-05-14T05:00:00Z,13,NUCLEAR,3402
2026-05-14T05:00:00Z,13,OCGT,4
2026-05-14T05:00:00Z,13,OIL,0
2026-05-14T05:00:00Z,13,OTHER,383
2026-05-14T05:00:00Z,13,PS,-300
2026-05-14T05:00:00Z,13,WIND,7263
2026-05-14T05:30:00Z,14,BIOMASS,2494
2026-05-14T05:30:00Z,14,CCGT,4666
2026-05-14T05:30:00Z,14,COAL,0
2026-05-14T05:30:00Z,14,INTELEC,996
2026-05-14T05:30:00Z,14,INTEW,0
2026-05-14T05:30:00Z,14,INTFR,1506
2026-05-14T05:30:00Z,14,INTGRNL,-152
2026-05-14T05:30:00Z,14,INTIFA2,992
2026-05-14T05:30:00Z,14,INTIRL,-128
2026-05-14T05:30:00Z,14,INTNED,0
2026-05-14T05:30:00Z,14,INTNEM,998
2026-05-14T05:30:00Z,14,INTNSL,1190
2026-05-14T05:30:00Z,14,INTVKL,1358
2026-05-14T05:30:00Z,14,NPSHYD,202
2026-05-14T05:30:00Z,14,NUCLEAR,3398
2026-05-14T05:30:00Z,14,OCGT,5
2026-05-14T05:30:00Z,14,OIL,0
2026-05-14T05:30:00Z,14,OTHER,1035
2026-05-14T05:30:00Z,14,PS,-112
2026-05-14T05:30:00Z,14,WIND,7171
2026-05-14T06:00:00Z,15,BIOMASS,2490
2026-05-14T06:00:00Z,15,CCGT,5437
2026-05-14T06:00:00Z,15,COAL,0
2026-05-14T06:00:00Z,15,INTELEC,996
2026-05-14T06:00:00Z,15,INTEW,0
2026-05-14T06:00:00Z,15,INTFR,1508
2026-05-14T06:00:00Z,15,INTGRNL,-302
2026-05-14T06:00:00Z,15,INTIFA2,992
2026-05-14T06:00:00Z,15,INTIRL,-48
2026-05-14T06:00:00Z,15,INTNED,0
2026-05-14T06:00:00Z,15,INTNEM,998
2026-05-14T06:00:00Z,15,INTNSL,1378
2026-05-14T06:00:00Z,15,INTVKL,1420
2026-05-14T06:00:00Z,15,NPSHYD,237
2026-05-14T06:00:00Z,15,NUCLEAR,3402
2026-05-14T06:00:00Z,15,OCGT,4
2026-05-14T06:00:00Z,15,OIL,0
2026-05-14T06:00:00Z,15,OTHER,1586
2026-05-14T06:00:00Z,15,PS,-170
2026-05-14T06:00:00Z,15,WIND,6923
2026-05-14T06:30:00Z,16,BIOMASS,2490
2026-05-14T06:30:00Z,16,CCGT,5382
2026-05-14T06:30:00Z,16,COAL,0
2026-05-14T06:30:00Z,16,INTELEC,996
2026-05-14T06:30:00Z,16,INTEW,0
2026-05-14T06:30:00Z,16,INTFR,1506
2026-05-14T06:30:00Z,16,INTGRNL,-450
2026-05-14T06:30:00Z,16,INTIFA2,992
2026-05-14T06:30:00Z,16,INTIRL,-88
2026-05-14T06:30:00Z,16,INTNED,0
2026-05-14T06:30:00Z,16,INTNEM,996
2026-05-14T06:30:00Z,16,INTNSL,1398
2026-05-14T06:30:00Z,16,INTVKL,1424
2026-05-14T06:30:00Z,16,NPSHYD,232
2026-05-14T06:30:00Z,16,NUCLEAR,3401
2026-05-14T06:30:00Z,16,OCGT,4
2026-05-14T06:30:00Z,16,OIL,0
2026-05-14T06:30:00Z,16,OTHER,2017
2026-05-14T06:30:00Z,16,PS,-308
2026-05-14T06:30:00Z,16,WIND,7149
2026-05-14T07:00:00Z,17,BIOMASS,2481
2026-05-14T07:00:00Z,17,CCGT,5283
2026-05-14T07:00:00Z,17,COAL,0
2026-05-14T07:00:00Z,17,INTELEC,996
2026-05-14T07:00:00Z,17,INTEW,0
2026-05-14T07:00:00Z,17,INTFR,1506
2026-05-14T07:00:00Z,17,INTGRNL,-514
2026-05-14T07:00:00Z,17,INTIFA2,992
2026-05-14T07:00:00Z,17,INTIRL,-44
2026-05-14T07:00:00Z,17,INTNED,0
2026-05-14T07:00:00Z,17,INTNEM,998
2026-05-14T07:00:00Z,17,INTNSL,1398
2026-05-14T07:00:00Z,17,INTVKL,1426
2026-05-14T07:00:00Z,17,NPSHYD,232
2026-05-14T07:00:00Z,17,NUCLEAR,3404
2026-05-14T07:00:00Z,17,OCGT,4
2026-05-14T07:00:00Z,17,OIL,0
2026-05-14T07:00:00Z,17,OTHER,1769
2026-05-14T07:00:00Z,17,PS,-318
2026-05-14T07:00:00Z,17,WIND,7482
2026-05-14T07:30:00Z,18,BIOMASS,2482
2026-05-14T07:30:00Z,18,CCGT,5433
2026-05-14T07:30:00Z,18,COAL,0
2026-05-14T07:30:00Z,18,INTELEC,996
2026-05-14T07:30:00Z,18,INTEW,0
